id,modality,original_duration_s,sequence_positions,feature_dimension,valid_positions,granularity,padding,source_video
-3g5yACwYnA$_$13,text,5.514,15,768,15,word,none; full ragged sequence,-3g5yACwYnA/13.mp4
-3g5yACwYnA$_$13,audio,5.514,15,50,15,word,none; full ragged sequence,-3g5yACwYnA/13.mp4
-3g5yACwYnA$_$13,vision,5.514,15,110,15,word,none; full ragged sequence,-3g5yACwYnA/13.mp4
-3g5yACwYnA$_$3,text,14.389,29,768,29,word,none; full ragged sequence,-3g5yACwYnA/3.mp4
-3g5yACwYnA$_$3,audio,14.389,29,50,29,word,none; full ragged sequence,-3g5yACwYnA/3.mp4
-3g5yACwYnA$_$3,vision,14.389,29,110,29,word,none; full ragged sequence,-3g5yACwYnA/3.mp4
-3g5yACwYnA$_$2,text,9.3941,14,768,14,word,none; full ragged sequence,-3g5yACwYnA/2.mp4
-3g5yACwYnA$_$2,audio,9.3941,14,50,14,word,none; full ragged sequence,-3g5yACwYnA/2.mp4
-3g5yACwYnA$_$2,vision,9.3941,14,110,14,word,none; full ragged sequence,-3g5yACwYnA/2.mp4
-3g5yACwYnA$_$9,text,8.817,23,768,23,word,none; full ragged sequence,-3g5yACwYnA/9.mp4
-3g5yACwYnA$_$9,audio,8.817,23,50,23,word,none; full ragged sequence,-3g5yACwYnA/9.mp4
-3g5yACwYnA$_$9,vision,8.817,23,110,23,word,none; full ragged sequence,-3g5yACwYnA/9.mp4
-3nNcZdcdvU$_$5,text,7.868,18,768,18,word,none; full ragged sequence,-3nNcZdcdvU/5.mp4
-3nNcZdcdvU$_$5,audio,7.868,18,50,18,word,none; full ragged sequence,-3nNcZdcdvU/5.mp4
-3nNcZdcdvU$_$5,vision,7.868,18,110,18,word,none; full ragged sequence,-3nNcZdcdvU/5.mp4
-HwX2H8Z4hY$_$2,text,3.9821,7,768,7,word,none; full ragged sequence,-HwX2H8Z4hY/2.mp4
-HwX2H8Z4hY$_$2,audio,3.9821,7,50,7,word,none; full ragged sequence,-HwX2H8Z4hY/2.mp4
-HwX2H8Z4hY$_$2,vision,3.9821,7,110,1,word,none; full ragged sequence,-HwX2H8Z4hY/2.mp4
-HwX2H8Z4hY$_$5,text,5.653,9,768,9,word,none; full ragged sequence,-HwX2H8Z4hY/5.mp4
-HwX2H8Z4hY$_$5,audio,5.653,9,50,9,word,none; full ragged sequence,-HwX2H8Z4hY/5.mp4
-HwX2H8Z4hY$_$5,vision,5.653,9,110,2,word,none; full ragged sequence,-HwX2H8Z4hY/5.mp4
