id,source_transcript,greedy_asr_for_diagnosis,mean_forced_path_score,low_score_words,diagnosis,source_transcript_modified
-3g5yACwYnA$_$13,They've been able to find solutions or at least bring some answers to the table.,THAT WE DO O THEY'VE BEEN ABLE TO FIND SOLUTIONS OR EARTLY SOPRING SOME MANCERS TO THE TABLE,0.8242,1,按低分词及模态掩码复核,False
-3g5yACwYnA$_$3,"We're a huge user of adhesives for our operation, called flocking, and we don't have the technical inside compounding or the technical expertise to do these types of things.",OM WE'RE A HUGE A USERVE AT HE SAS FOR OUR OPERATION CALL FLOCKING AND WE DON'T HAVE THE TECHNICAL AND INSIDE INFOM COMPOUNDING OR THE TECHNICAL EXPERATIES TO DO THESE TYPES OF THINGS SO A KEYBRINGS,0.8997,1,按低分词及模态掩码复核,False
-3g5yACwYnA$_$2,Key Polymer brings a technical aspect to our operation that we don't have internally.,ERATIONS AM KEE BRINGS THE KEEP AL FROM BRINGS A TECHNICAL ASPECT TO AR OUR OPERATION THAT WE DON'T HAVE INTERNALLY AM WEIR,0.8593,1,按低分词及模态掩码复核,False
-3g5yACwYnA$_$9,"We have many new opportunities through the way things have changed through the years, looking for new niche high-end, value-added products.",WE HAVE MANY A NEW OPPORTUNITYE THROUGH THE WAY THINGS HAVE CHANCED TO THE YEARS ON LOOKING FOR NEW NICH HIGH AND VALUE AT A PRODUCTS AND,0.8143,2,按低分词及模态掩码复核,False
-3nNcZdcdvU$_$5,Noncompliance can result in legal liability to you and to the school district in which you are employed.,NON COMPLIANCE CAN RESOLVE IN LEGAL LIABILITY TO YOU AND TO THE SCHOOL DISTRICT IN WHICH YOU ARE EMPLOYED,0.9325,1,按低分词及模态掩码复核,False
-HwX2H8Z4hY$_$2,"” [President Ronald Reagan:] ""Look at the record",MEDIOCRITY LOOK AT THE RECORD,0.5655,3,按低分词及模态掩码复核,False
-HwX2H8Z4hY$_$5,""" President Ronald Reagan blamed the professional bureaucracy of education",PRESIDENT RONALD RAGEN BLAMED THE PROFESSIONAL BURACRACY OF EDUCATION,0.8101,0,按低分词及模态掩码复核,False
-HwX2H8Z4hY$_$6,"And in part, Al Shanker did too",AND IN PART ALSHENKAR DID TOO,0.7778,0,按低分词及模态掩码复核,False
-HwX2H8Z4hY$_$9,It is a word which the administrator uses when he turns around anything which he doesn't like that the teacher is doing,IT IS A WORD WITH WHICH THE ADMINISTRATOR YOU IN WHICH THE ADMINISTRATOR YOUSES WHEN HE TURNS ROUND ANYTHING WHICH YO OULDN'T LIKE TO TEACH YOU HIS DOIN HE SAYS YOU L,0.745,2,按低分词及模态掩码复核,False
-NFrJFQijFE$_$1,Structural mounts inside have to be properly stress analyzed so we make sure all that happens,,0.0064,16,疑似转写与音频内容不匹配，或语音识别严重失败；需逐条回听确认,False
