index,word,start_s,end_s,score,audio_frames,visual_frames
0,I,0.04246874898672104,0.0624687485396862,0.802103579044342,4,2
1,think,0.16246874630451202,0.3824687600135803,0.9996175765991211,24,3
2,social,1.202468752861023,1.4424687623977661,0.9850919842720032,26,3
3,justice,1.5024687051773071,1.7824687957763672,0.9844581484794617,30,4
4,is,1.8624687194824219,1.9024688005447388,0.9994524121284485,6,1
5,extremely,1.9824687242507935,2.362468719482422,0.986912190914154,40,5
6,important,2.422468662261963,2.782468795776367,0.9999512434005737,38,5
7,for,2.862468719482422,2.982468843460083,0.9992773532867432,14,2
8,young,3.0824687480926514,3.24246883392334,0.9998305439949036,18,2
9,people,3.3224687576293945,3.7024686336517334,0.3422558009624481,40,5
