sample_id,video_file,key_text_excerpt,key_time_start_seconds,key_time_end_seconds,localization_status,manual_audio_match,manual_video_match,review_notes
01,01.mp4,essential to ensuring,3.78246875,5.02246875,自动CTC定位_需人工回听,,,
02,02.mp4,happiness - not,1.44246875,1.92246875,自动CTC定位_需人工回听,,,
03,03.mp4,lender at,1.04246875,1.60246875,自动CTC定位_需人工回听,,,
04,04.mp4,kiss my chances,2.4824687500000002,3.24246875,自动CTC定位_需人工回听,,,
05,05.mp4,Wagon Marketing.,4.64246875,5.44246875,自动CTC定位_需人工回听,,,
06,06.mp4,impressive dance moves,3.96246875,5.12246875,自动CTC定位_需人工回听,,,
07,07.mp4,attendees “enthusiastically,5.00246875,7.02246875,自动定位质量警示_需人工回听,,,
08,08.mp4,the Universal Design,1.84246875,3.04246875,自动CTC定位_需人工回听,,,
09,09.mp4,did not like,1.22246875,1.60246875,自动CTC定位_需人工回听,,,
10,10.mp4,was pretty terrible,7.50246875,9.18246875,自动CTC定位_需人工回听,,,
11,11.mp4,would be ashamed,0.62246875,1.34246875,自动CTC定位_需人工回听,,,
12,12.mp4,"worse, an",0.72246875,1.20246875,自动CTC定位_需人工回听,,,
13,13.mp4,factors or more,7.28246875,8.60246875,自动CTC定位_需人工回听,,,
14,14.mp4,courses at Toronto,6.96246875,8.76246875,自动CTC定位_需人工回听,,,
15,15.mp4,despite their poverty,0.78246875,1.76246875,自动定位质量警示_需人工回听,,,
16,16.mp4,"terrible, this",0.8024687500000001,1.58246875,自动CTC定位_需人工回听,,,
17,17.mp4,to your presentations,2.82246875,3.82246875,自动CTC定位_需人工回听,,,
18,18.mp4,has been denied,8.68246875,9.42246875,自动定位质量警示_需人工回听,,,
19,19.mp4,unfortunately some hate,5.34246875,6.7424687500000005,自动CTC定位_需人工回听,,,
20,20.mp4,video for more,2.96246875,3.78246875,自动CTC定位_需人工回听,,,
