id,duration_s,word_count,text_dim,audio_dim,vision_dim,alignment_granularity,aligned_words,audio_valid_words,vision_valid_words,alignment_confidence_mean,low_confidence_words,face_detection_rate,multiface_frames,audio_frames,video_sampled_frames,status,warnings,warning_explanation,label,annotation,feature_file,feature_bytes
-3g5yACwYnA$_$13,5.514,15,768,50,110,word,15,15,15,0.8242,1,1.0,0,547,55,review_required,low_alignment_confidence,部分词对齐分数低,0.6666666865348816,Positive,features/-3g5yACwYnA$_$13.npz,112965
-3g5yACwYnA$_$3,14.389,29,768,50,110,word,29,29,29,0.8997,1,1.0,0,1434,144,review_required,low_alignment_confidence,部分词对齐分数低,0.0,Neutral,features/-3g5yACwYnA$_$3.npz,255646
-3g5yACwYnA$_$2,9.3941,14,768,50,110,word,14,14,14,0.8593,1,1.0,0,935,94,review_required,low_alignment_confidence,部分词对齐分数低,0.0,Neutral,features/-3g5yACwYnA$_$2.npz,151414
-3g5yACwYnA$_$9,8.817,23,768,50,110,word,23,23,23,0.8143,2,1.0,0,877,88,review_required,low_alignment_confidence,部分词对齐分数低,0.6666666865348816,Positive,features/-3g5yACwYnA$_$9.npz,177732
-3nNcZdcdvU$_$5,7.868,18,768,50,110,word,18,18,18,0.9325,1,0.9873,0,782,79,review_required,low_alignment_confidence,部分词对齐分数低,0.0,Neutral,features/-3nNcZdcdvU$_$5.npz,151002
-HwX2H8Z4hY$_$2,3.9821,7,768,50,110,word,7,7,1,0.5655,3,0.225,0,394,40,review_required,low_alignment_confidence;some_words_without_valid_face,部分词对齐分数低；部分词区间无人脸特征,0.0,Neutral,features/-HwX2H8Z4hY$_$2.npz,61318
-HwX2H8Z4hY$_$5,5.653,9,768,50,110,word,9,9,2,0.8101,0,0.3158,0,561,57,review_required,some_words_without_valid_face,部分词区间无人脸特征,-1.0,Negative,features/-HwX2H8Z4hY$_$5.npz,85452
-HwX2H8Z4hY$_$6,3.3581,7,768,50,110,word,7,7,5,0.7778,0,0.6176,0,331,34,review_required,some_words_without_valid_face,部分词区间无人脸特征,0.0,Neutral,features/-HwX2H8Z4hY$_$6.npz,61671
-HwX2H8Z4hY$_$9,7.734,22,768,50,110,word,22,22,0,0.745,2,0.0,0,769,78,review_required,low_alignment_confidence;some_words_without_valid_face,部分词对齐分数低；部分词区间无人脸特征,-0.3333333432674408,Negative,features/-HwX2H8Z4hY$_$9.npz,139025
-NFrJFQijFE$_$1,5.746,16,768,50,110,word,16,16,0,0.0064,16,0.0,0,570,57,review_required,low_alignment_confidence;some_words_without_valid_face,部分词对齐分数低；部分词区间无人脸特征,0.3333333432674408,Positive,features/-NFrJFQijFE$_$1.npz,94495
