sample_id,localization_status,asr_phrase_similarity,asr_match_midpoint_offset_seconds,audio_check,frame_pixel_exact,frame_timestamp_error_seconds,audio_coverage_fraction,review_type
01,自动CTC定位_需人工回听,0.9474,0.01,supports_time,True,0.0,0.998458,AI_assisted_not_human
02,自动CTC定位_需人工回听,1.0,0.01,supports_time,True,0.0,0.95287,AI_assisted_not_human
03,自动CTC定位_需人工回听,0.875,0.01,supports_time,True,0.0,0.99167,AI_assisted_not_human
04,自动CTC定位_需人工回听,1.0,0.01,supports_time,True,0.0,0.979045,AI_assisted_not_human
05,自动CTC定位_需人工回听,0.8571,-0.02,supports_time,True,0.0,0.985902,AI_assisted_not_human
06,自动CTC定位_需人工回听,1.0,-0.0,supports_time,True,0.0,0.9823,AI_assisted_not_human
07,自动定位质量警示_需人工回听,0.902,0.01,supports_time,True,0.0,0.996138,AI_assisted_not_human
08,自动CTC定位_需人工回听,1.0,-0.0,supports_time,True,0.0,0.965076,AI_assisted_not_human
09,自动CTC定位_需人工回听,1.0,0.01,supports_time,True,0.0,0.984592,AI_assisted_not_human
10,自动CTC定位_需人工回听,1.0,-0.02,supports_time,True,0.0,0.983457,AI_assisted_not_human
11,自动CTC定位_需人工回听,0.8333,0.05,supports_time,True,0.0,0.992247,AI_assisted_not_human
12,自动CTC定位_需人工回听,1.0,0.01,supports_time,True,0.0,0.989286,AI_assisted_not_human
13,自动CTC定位_需人工回听,0.5,-3.02,uncertain,True,0.0,1.0,AI_assisted_not_human
14,自动CTC定位_需人工回听,0.8824,-0.22,supports_time,True,0.0,0.98796,AI_assisted_not_human
15,自动定位质量警示_需人工回听,0.973,5.61,possible_time_conflict,True,0.0,0.997401,AI_assisted_not_human
16,自动CTC定位_需人工回听,0.9091,0.04,supports_time,True,0.0,0.977421,AI_assisted_not_human
17,自动CTC定位_需人工回听,1.0,0.01,supports_time,True,0.0,0.989281,AI_assisted_not_human
18,自动定位质量警示_需人工回听,1.0,-0.0,supports_time,True,0.0,0.990882,AI_assisted_not_human
19,自动CTC定位_需人工回听,1.0,-0.04,supports_time,True,0.0,0.994724,AI_assisted_not_human
20,自动CTC定位_需人工回听,0.7273,4.83,uncertain,True,0.0,0.986933,AI_assisted_not_human
